created_at,entry_id,soil1,soil,temperature,humidity
2024-10-24T20:31:44+07:00,44392,25,43,23.8,94
2024-10-24T20:32:07+07:00,44393,24,41,23.8,94
2024-10-24T20:32:29+07:00,44394,25,41,23.8,94
2024-10-24T20:32:53+07:00,44395,25,42,23.8,94
2024-10-24T20:33:16+07:00,44396,24,41,23.8,94
2024-10-24T20:33:38+07:00,44397,24,41,23.8,94
2024-10-24T20:34:01+07:00,44398,25,41,23.8,94
2024-10-24T20:34:24+07:00,44399,26,41,23.8,94
2024-10-24T20:34:46+07:00,44400,26,43,23.8,95
2024-10-24T20:35:10+07:00,44401,26,40,23.8,95
2024-10-24T20:35:33+07:00,44402,26,41,23.8,95
2024-10-24T20:35:56+07:00,44403,25,42,23.8,95
2024-10-24T20:36:19+07:00,44404,25,43,23.8,95
2024-10-24T20:36:42+07:00,44405,25,41,23.8,95
2024-10-24T20:37:05+07:00,44406,25,41,23.8,95
2024-10-24T20:37:28+07:00,44407,26,41,23.8,95
2024-10-24T20:38:17+07:00,44408,25,42,23.8,94
2024-10-24T20:38:39+07:00,44409,26,40,23.8,94
2024-10-24T20:39:03+07:00,44410,25,43,23.8,94
2024-10-24T20:39:26+07:00,44411,26,41,23.8,94
2024-10-24T20:39:48+07:00,44412,25,43,23.8,94
2024-10-24T20:40:11+07:00,44413,26,41,23.8,94
2024-10-24T20:40:33+07:00,44414,26,41,23.8,94
2024-10-24T20:40:57+07:00,44415,25,41,23.9,94
2024-10-24T20:41:21+07:00,44416,26,42,24,94
2024-10-24T20:41:44+07:00,44417,26,40,24.1,94
2024-10-24T20:42:08+07:00,44418,25,41,24.1,94
2024-10-24T20:42:30+07:00,44419,26,42,24.1,94
2024-10-24T20:42:53+07:00,44420,24,42,24.1,94
2024-10-24T20:43:16+07:00,44421,26,42,24.1,94
2024-10-24T20:43:38+07:00,44422,25,42,24.1,94
2024-10-24T20:44:01+07:00,44423,25,41,24.1,94
2024-10-24T20:44:26+07:00,44424,25,41,24.1,94
2024-10-24T20:44:49+07:00,44425,25,41,24.1,95
2024-10-24T20:45:12+07:00,44426,25,41,24.1,95
2024-10-24T20:45:35+07:00,44427,25,42,24.1,95
2024-10-24T20:45:58+07:00,44428,24,41,24.1,95
2024-10-24T20:46:20+07:00,44429,25,42,24.1,95
2024-10-24T20:46:43+07:00,44430,25,42,24.1,95
2024-10-24T20:47:07+07:00,44431,26,42,24.1,95
2024-10-24T20:47:29+07:00,44432,25,40,24.1,95
2024-10-24T20:47:53+07:00,44433,25,42,24.1,95
2024-10-24T20:48:16+07:00,44434,25,41,24.1,95
2024-10-24T20:48:39+07:00,44435,25,41,24.1,95
2024-10-24T20:49:02+07:00,44436,25,41,24.1,95
2024-10-24T20:49:25+07:00,44437,25,42,24.1,95
2024-10-24T20:49:48+07:00,44438,24,40,24.1,95
2024-10-24T20:50:12+07:00,44439,25,41,24.1,95
2024-10-24T20:50:35+07:00,44440,25,41,24.1,96
2024-10-24T20:50:58+07:00,44441,25,41,24.1,96
2024-10-24T20:51:22+07:00,44442,25,42,24.1,96
2024-10-24T20:51:44+07:00,44443,25,42,24.1,96
2024-10-24T20:52:08+07:00,44444,25,41,24.1,96
2024-10-24T20:52:30+07:00,44445,26,41,24.1,96
2024-10-24T20:52:53+07:00,44446,25,41,24.1,96
2024-10-24T20:53:16+07:00,44447,24,41,24.1,96
2024-10-24T20:53:40+07:00,44448,25,41,24.1,96
2024-10-24T20:54:02+07:00,44449,25,39,24.1,95
2024-10-24T20:54:25+07:00,44450,24,42,24.1,95
2024-10-24T20:54:48+07:00,44451,25,40,24.1,94
2024-10-24T20:55:12+07:00,44452,25,39,24.1,94
2024-10-24T20:55:34+07:00,44453,25,40,24.1,94
2024-10-24T20:55:57+07:00,44454,25,41,24.1,94
2024-10-24T20:56:20+07:00,44455,25,41,24.1,94
2024-10-24T20:56:43+07:00,44456,24,42,24.1,94
2024-10-24T20:57:05+07:00,44457,25,41,24.1,94
2024-10-24T20:57:29+07:00,44458,26,41,24.1,94
2024-10-24T20:57:52+07:00,44459,25,41,24.1,94
2024-10-24T20:58:16+07:00,44460,24,42,24.1,94
